Producto_Detalles_Vistos,Cantidad_Actividades_Sesión,Cantidad_Artículos_En_Carro,Cantidad_Artículos_Eliminados_Carro,Cantidad_Visitas_Carro,Confirmaciones_Compra,Inicios_Pago,Vistas_Productos_Carro,Inicios_Sesión_Cliente,Vistas_Páginas,Segmento_Cliente,Abandono_Carro
No,23,0,0,2,0,1,2,0,9,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,6,0,0,2,0,0,4,0,0,Cliente Objetivo,Si
No,11,0,0,10,0,0,1,0,0,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,6,5,0,0,0,0,1,0,0,Cliente Leal,Si
No,3,0,0,0,0,3,0,0,0,Cliente Objetivo,Si
Si,14,5,2,0,0,0,1,0,3,Cliente No Segmentado,Si
Si,18,0,0,5,0,2,2,0,6,Cliente Objetivo,Si
No,6,0,0,0,0,0,2,0,0,Cliente Objetivo,Si
No,24,10,0,3,0,0,10,0,0,Cliente Leal,Si
No,16,9,0,3,0,1,2,0,1,Cliente Leal,Si
No,9,4,0,1,0,1,1,0,2,Cliente Leal,Si
No,7,1,0,0,0,2,3,0,1,Cliente Objetivo,Si
Si,8,2,0,0,0,0,0,0,6,Cliente Objetivo,Si
Si,8,4,0,1,0,0,1,0,2,Cliente Leal,Si
No,7,2,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,41,1,31,0,1,2,1,1,4,Cliente No Segmentado,No
No,5,1,0,0,0,1,0,1,2,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,13,5,0,2,0,3,2,0,0,Cliente Leal,Si
Si,17,1,11,0,1,1,1,1,0,Cliente No Segmentado,No
No,16,7,1,2,0,1,2,0,2,Cliente Leal,Si
No,4,0,0,0,0,1,0,0,3,Cliente Objetivo,Si
Si,5,1,0,0,0,1,3,0,0,Cliente Objetivo,Si
No,22,11,0,1,1,1,1,1,3,Cliente Leal,Si
No,11,1,0,1,0,1,6,0,2,Cliente Objetivo,Si
No,2,0,0,1,0,0,0,0,1,Cliente Objetivo,Si
Si,24,4,1,1,0,0,1,0,9,Cliente Leal,Si
No,26,1,0,7,1,3,7,0,0,Cliente Objetivo,No
No,7,2,1,1,0,1,1,0,1,Cliente Objetivo,Si
No,8,2,0,2,0,1,1,0,2,Cliente Objetivo,Si
Si,12,5,0,1,0,2,1,0,3,Cliente Leal,Si
Si,10,1,0,1,0,2,5,0,1,Cliente Objetivo,Si
No,11,1,0,0,1,2,1,1,1,Cliente Objetivo,No
No,5,1,0,0,0,1,0,2,0,Cliente Objetivo,Si
No,6,0,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,31,7,16,2,1,2,0,1,2,Cliente No Segmentado,No
No,23,9,2,1,0,0,4,0,3,Cliente No Segmentado,Si
No,7,1,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,4,0,0,0,0,1,0,0,3,Cliente Objetivo,Si
No,3,0,0,1,0,1,0,0,1,Cliente Objetivo,Si
No,12,5,0,2,0,1,3,0,1,Cliente Leal,Si
No,5,0,0,2,0,0,3,0,0,Cliente Objetivo,Si
No,10,0,0,3,0,3,3,0,1,Cliente Objetivo,Si
No,10,1,0,0,0,0,1,0,4,Cliente Objetivo,Si
No,5,1,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,5,1,0,1,0,2,1,0,0,Cliente Objetivo,Si
Si,16,3,6,1,0,0,1,0,2,Cliente No Segmentado,Si
No,1,0,0,0,0,1,0,0,0,Cliente Objetivo,Si
Si,6,0,3,0,0,0,0,0,3,Cliente Objetivo,Si
No,13,4,0,2,0,1,0,1,3,Cliente Leal,Si
Si,14,8,0,0,0,0,3,0,3,Cliente Leal,Si
Si,22,0,0,2,0,1,1,0,3,Cliente Objetivo,Si
No,5,1,0,1,0,2,0,0,0,Cliente Objetivo,Si
No,24,6,3,1,0,0,2,0,1,Cliente No Segmentado,Si
No,1,0,0,0,0,1,0,0,0,Cliente Objetivo,Si
Si,5,1,0,0,0,1,2,0,1,Cliente Objetivo,Si
No,8,1,0,1,1,2,1,0,0,Cliente Objetivo,No
No,16,4,5,3,0,1,1,0,2,Cliente No Segmentado,Si
No,6,2,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,6,3,0,2,0,0,0,0,1,Cliente Leal,Si
No,8,3,0,0,0,0,1,0,1,Cliente Leal,Si
No,28,7,0,1,0,1,2,0,1,Cliente Leal,Si
Si,7,4,0,0,0,1,1,0,1,Cliente Leal,Si
No,31,0,0,1,1,0,29,0,0,Cliente Objetivo,No
No,6,0,0,1,0,0,3,0,1,Cliente Objetivo,Si
No,25,3,0,1,0,3,16,0,1,Cliente Leal,Si
No,6,0,0,2,1,1,1,0,1,Cliente Objetivo,No
Si,3,1,1,0,0,0,0,0,1,Cliente Objetivo,Si
Si,41,6,1,3,0,0,0,0,3,Cliente Leal,Si
No,6,1,0,1,0,1,0,1,2,Cliente Objetivo,Si
Si,57,2,7,0,0,1,1,1,6,Cliente No Segmentado,Si
Si,33,11,0,0,1,4,5,0,2,Cliente Leal,No
No,12,0,0,3,0,7,2,0,0,Cliente Objetivo,Si
Si,23,10,0,2,0,0,3,0,6,Cliente Leal,Si
No,6,2,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,9,1,0,2,1,2,0,1,2,Cliente Objetivo,No
No,12,9,0,0,0,2,1,0,0,Cliente Leal,Si
No,6,1,0,1,0,1,1,0,2,Cliente Objetivo,Si
No,11,0,0,0,0,1,1,0,3,Cliente Objetivo,Si
Si,4,1,1,0,0,0,1,0,1,Cliente Objetivo,Si
No,6,1,0,0,0,2,0,1,2,Cliente Objetivo,Si
No,9,0,0,1,1,3,4,0,0,Cliente Objetivo,No
No,7,2,0,1,0,1,1,0,2,Cliente Objetivo,Si
No,9,5,0,1,0,1,2,0,0,Cliente Leal,Si
No,9,0,0,0,0,1,1,0,2,Cliente Objetivo,Si
Si,3,1,0,0,0,1,0,0,0,Cliente Objetivo,Si
No,8,2,0,0,1,1,1,1,2,Cliente Objetivo,No
No,13,2,0,8,0,0,3,0,0,Cliente Objetivo,Si
No,6,1,0,1,0,0,4,0,0,Cliente Objetivo,Si
Si,24,7,14,3,0,0,0,0,0,Cliente No Segmentado,Si
No,21,0,0,0,0,3,17,0,1,Cliente Objetivo,Si
No,25,2,0,3,1,3,0,1,5,Cliente Objetivo,No
No,4,1,0,0,0,0,0,0,3,Cliente Objetivo,Si
Si,2,0,1,0,0,0,0,0,1,Cliente Objetivo,Si
Si,5,1,0,0,0,0,0,0,3,Cliente Objetivo,Si
No,14,4,0,3,0,0,7,0,0,Cliente Leal,Si
Si,5,2,0,0,0,0,1,0,2,Cliente Objetivo,Si
Si,10,2,0,0,0,0,0,0,7,Cliente Objetivo,Si
No,17,8,0,1,0,0,3,0,0,Cliente Leal,Si
Si,15,8,0,0,0,0,2,0,2,Cliente Leal,Si
No,14,3,0,4,0,1,0,0,6,Cliente Leal,Si
Si,8,3,0,0,0,0,1,0,2,Cliente Leal,Si
Si,8,2,0,1,0,0,4,0,0,Cliente Objetivo,Si
No,8,2,0,2,0,1,1,0,2,Cliente Objetivo,Si
Si,3,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,8,2,2,0,0,0,1,0,3,Cliente No Segmentado,Si
No,18,2,0,0,0,3,4,0,0,Cliente Objetivo,Si
Si,13,1,0,4,0,0,7,0,0,Cliente Objetivo,Si
No,14,6,0,0,1,2,2,0,1,Cliente Leal,No
No,23,0,0,1,2,3,12,0,2,Cliente Objetivo,No
No,1,6,2,1,0,0,10,0,2,Cliente No Segmentado,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,7,2,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,15,5,0,3,0,3,2,0,2,Cliente Leal,Si
No,6,2,0,1,0,0,1,0,1,Cliente Objetivo,Si
No,10,1,0,1,1,1,1,1,2,Cliente Objetivo,No
Si,30,7,7,1,0,0,4,0,5,Cliente No Segmentado,Si
No,13,1,0,0,0,0,1,0,5,Cliente Objetivo,Si
Si,22,4,0,0,0,0,3,0,7,Cliente Leal,Si
No,6,2,0,1,0,0,1,0,2,Cliente Objetivo,Si
No,8,0,0,1,0,1,6,0,0,Cliente Objetivo,Si
No,7,1,0,0,0,1,5,0,0,Cliente Objetivo,Si
Si,13,3,4,0,0,0,1,0,4,Cliente No Segmentado,Si
No,21,1,0,1,0,2,17,0,0,Cliente Objetivo,Si
No,10,0,0,2,0,2,0,1,2,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,33,1,0,1,0,0,24,0,0,Cliente Objetivo,Si
No,28,2,0,5,0,3,11,0,0,Cliente Objetivo,Si
Si,14,0,0,0,0,0,1,0,2,Cliente Objetivo,Si
No,13,0,0,1,1,1,1,0,1,Cliente Objetivo,No
No,9,1,0,1,1,2,2,1,1,Cliente Objetivo,No
No,17,1,3,0,0,0,6,0,3,Cliente No Segmentado,Si
Si,6,1,0,1,0,0,2,0,0,Cliente Objetivo,Si
No,8,2,0,0,1,1,1,1,1,Cliente Objetivo,No
Si,11,3,3,3,0,0,0,0,1,Cliente No Segmentado,Si
No,7,2,0,1,0,1,1,0,2,Cliente Objetivo,Si
Si,11,1,0,0,0,0,1,0,6,Cliente Objetivo,Si
Si,9,2,0,2,0,0,1,0,3,Cliente Objetivo,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,19,0,0,0,0,0,0,0,2,Cliente Objetivo,Si
No,21,8,0,5,0,0,6,0,0,Cliente Leal,Si
No,11,3,0,2,0,1,1,0,3,Cliente Leal,Si
No,6,0,0,2,0,1,2,0,1,Cliente Objetivo,Si
No,10,1,0,2,0,1,2,1,3,Cliente Objetivo,Si
Si,15,0,0,0,0,0,3,0,4,Cliente Objetivo,Si
Si,11,4,0,0,0,2,4,0,0,Cliente Leal,Si
Si,2,10,0,1,0,0,5,0,1,Cliente Leal,Si
Si,10,2,0,0,0,0,1,0,6,Cliente Objetivo,Si
No,11,5,0,1,1,1,1,1,1,Cliente Leal,No
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,4,1,0,0,0,1,2,0,0,Cliente Objetivo,Si
Si,6,2,0,2,0,0,2,0,0,Cliente Objetivo,Si
No,37,10,6,8,0,3,2,1,6,Cliente No Segmentado,Si
Si,3,1,0,0,0,0,0,0,2,Cliente Objetivo,Si
No,26,3,10,4,1,2,0,0,0,Cliente No Segmentado,No
No,9,4,0,1,0,1,1,0,2,Cliente Leal,Si
No,32,0,0,1,0,1,1,0,2,Cliente Objetivo,Si
No,16,5,0,1,1,3,3,1,1,Cliente Leal,No
No,7,0,0,4,0,1,1,0,1,Cliente Objetivo,Si
No,30,9,11,3,1,1,2,0,3,Cliente No Segmentado,No
No,13,4,2,0,1,1,3,1,1,Cliente No Segmentado,No
Si,44,3,35,0,0,0,2,0,3,Cliente No Segmentado,Si
No,19,8,1,2,0,1,1,1,3,Cliente Leal,Si
No,17,0,0,0,0,1,4,0,6,Cliente Objetivo,Si
No,23,6,2,4,1,1,2,1,4,Cliente No Segmentado,No
Si,5,2,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,8,0,0,1,0,0,1,0,5,Cliente Objetivo,Si
No,1,3,5,2,1,1,1,1,4,Cliente No Segmentado,No
No,33,1,0,1,0,0,9,0,15,Cliente Objetivo,Si
No,12,0,0,3,0,1,7,0,1,Cliente Objetivo,Si
No,6,1,0,0,1,1,0,1,2,Cliente Objetivo,No
Si,16,7,4,0,0,0,1,0,2,Cliente No Segmentado,Si
No,19,5,8,0,0,0,4,0,1,Cliente No Segmentado,Si
Si,14,5,0,2,0,0,1,0,2,Cliente Leal,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,2,0,0,0,0,0,4,0,21,Cliente Objetivo,Si
No,20,6,0,1,0,0,1,0,1,Cliente Leal,Si
No,21,1,0,2,1,1,1,1,10,Cliente Objetivo,No
No,6,1,0,1,0,1,0,0,3,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,9,4,0,1,0,1,1,0,2,Cliente Leal,Si
Si,11,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,6,2,0,1,0,0,2,0,0,Cliente Objetivo,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
Si,32,10,0,1,0,0,15,0,1,Cliente Leal,Si
No,43,4,6,2,0,1,8,1,11,Cliente No Segmentado,Si
No,18,8,0,2,0,1,2,0,4,Cliente Leal,Si
No,14,5,1,4,0,1,1,0,1,Cliente Leal,Si
No,31,9,16,0,1,1,0,1,3,Cliente No Segmentado,No
No,12,7,0,1,0,1,1,0,2,Cliente Leal,Si
No,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,74,3,0,13,0,3,42,0,0,Cliente Leal,Si
No,14,6,0,3,0,1,0,0,3,Cliente Leal,Si
No,13,7,0,2,0,1,1,0,2,Cliente Leal,Si
Si,36,10,0,4,1,1,0,0,4,Cliente Leal,No
Si,10,1,0,0,0,0,0,0,9,Cliente Objetivo,Si
No,8,3,0,1,0,1,1,0,2,Cliente Leal,Si
No,11,1,0,1,0,1,2,0,0,Cliente Objetivo,Si
Si,11,2,0,1,0,0,0,0,6,Cliente Objetivo,Si
No,9,1,0,5,0,1,0,0,2,Cliente Objetivo,Si
No,7,1,0,0,0,1,3,0,1,Cliente Objetivo,Si
Si,5,1,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,4,0,0,2,0,0,0,0,1,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,10,5,0,1,0,0,2,0,2,Cliente Leal,Si
No,10,7,0,0,0,1,1,0,1,Cliente Leal,Si
Si,9,4,0,1,0,0,1,0,0,Cliente Leal,Si
Si,1,0,0,1,0,0,3,0,1,Cliente Objetivo,Si
No,21,3,1,0,0,3,4,0,3,Cliente Leal,Si
No,8,2,0,1,0,1,1,0,3,Cliente Objetivo,Si
No,41,9,11,2,0,0,4,0,9,Cliente No Segmentado,Si
Si,7,1,1,1,0,1,0,0,3,Cliente Objetivo,Si
No,10,1,0,0,0,2,5,0,1,Cliente Objetivo,Si
No,2,0,0,1,0,0,0,0,1,Cliente Objetivo,Si
No,12,5,0,0,0,1,2,0,2,Cliente Leal,Si
No,16,9,0,1,0,1,2,0,3,Cliente Leal,Si
No,8,0,0,3,0,1,0,0,4,Cliente Objetivo,Si
No,17,6,0,0,0,0,1,0,7,Cliente Leal,Si
No,6,1,0,0,0,1,1,0,3,Cliente Objetivo,Si
Si,19,4,8,1,0,0,4,0,2,Cliente No Segmentado,Si
No,1,2,0,4,0,0,1,0,2,Cliente Objetivo,Si
No,11,1,0,1,0,1,6,0,0,Cliente Objetivo,Si
No,22,1,0,1,0,0,12,0,0,Cliente Objetivo,Si
Si,9,5,0,1,0,0,2,0,1,Cliente Leal,Si
Si,19,2,0,1,0,5,2,0,8,Cliente Objetivo,Si
No,8,1,0,0,1,1,0,1,4,Cliente Objetivo,No
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
Si,40,1,1,2,0,0,1,0,6,Cliente Objetivo,Si
Si,10,4,0,0,0,0,0,0,4,Cliente Leal,Si
No,5,1,0,0,0,0,1,0,2,Cliente Objetivo,Si
No,3,0,0,1,0,0,2,0,0,Cliente Objetivo,Si
No,6,0,0,2,0,1,2,0,1,Cliente Objetivo,Si
No,24,9,0,3,1,1,2,1,5,Cliente Leal,No
No,10,1,0,0,0,0,2,0,4,Cliente Objetivo,Si
No,1,1,0,0,0,2,1,0,1,Cliente Objetivo,Si
Si,8,5,0,1,0,0,1,0,0,Cliente Leal,Si
No,8,1,0,1,0,1,1,0,3,Cliente Objetivo,Si
No,5,2,0,1,0,1,1,0,0,Cliente Objetivo,Si
Si,15,5,3,2,0,0,1,0,1,Cliente No Segmentado,Si
No,18,4,1,3,0,3,2,0,4,Cliente Leal,Si
Si,13,3,0,1,0,1,3,0,5,Cliente Leal,Si
No,15,0,0,1,0,1,2,0,2,Cliente Objetivo,Si
No,7,2,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,14,1,0,0,0,1,11,0,1,Cliente Objetivo,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
Si,13,2,1,0,0,0,2,0,4,Cliente Objetivo,Si
No,6,0,0,0,1,2,2,0,0,Cliente Objetivo,No
No,13,5,0,1,0,1,1,0,4,Cliente Leal,Si
No,14,6,2,2,0,1,1,0,1,Cliente No Segmentado,Si
Si,8,4,0,0,0,1,1,0,1,Cliente Leal,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,21,10,0,2,1,1,1,1,3,Cliente Leal,No
No,14,2,0,2,0,1,9,0,0,Cliente Objetivo,Si
Si,11,5,0,0,0,0,3,0,2,Cliente Leal,Si
Si,3,1,0,0,0,1,0,0,1,Cliente Objetivo,Si
Si,16,6,0,3,0,0,6,0,0,Cliente Leal,Si
No,11,0,2,2,0,0,1,0,6,Cliente Objetivo,Si
No,8,3,0,1,0,0,0,0,0,Cliente Leal,Si
Si,6,2,2,0,0,0,1,0,1,Cliente No Segmentado,Si
Si,6,2,0,0,0,1,3,0,0,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,29,9,3,4,2,2,2,0,6,Cliente No Segmentado,No
No,8,2,0,1,1,1,1,1,1,Cliente Objetivo,No
No,18,10,0,2,0,1,2,0,2,Cliente Leal,Si
No,10,0,0,0,1,1,1,0,0,Cliente Objetivo,No
No,7,1,0,0,1,1,0,1,3,Cliente Objetivo,Si
Si,9,2,2,0,0,0,1,0,1,Cliente No Segmentado,Si
Si,7,1,0,2,0,1,0,1,2,Cliente Objetivo,Si
No,19,7,0,2,2,2,1,2,3,Cliente Leal,No
Si,7,4,0,0,0,0,1,0,0,Cliente Leal,Si
No,7,3,0,1,0,1,0,0,2,Cliente Leal,Si
No,17,8,0,1,1,1,4,1,1,Cliente Leal,No
No,14,1,0,5,0,3,5,0,0,Cliente Objetivo,Si
No,8,4,0,0,0,1,2,0,1,Cliente Leal,Si
Si,16,0,0,0,0,0,1,0,2,Cliente Objetivo,Si
Si,8,0,0,0,0,0,1,0,2,Cliente Objetivo,Si
Si,20,2,10,3,0,0,3,0,2,Cliente No Segmentado,Si
No,9,3,0,2,0,1,1,0,2,Cliente Leal,Si
No,6,0,0,3,0,1,1,0,1,Cliente Objetivo,Si
No,32,10,9,1,1,3,3,1,3,Cliente No Segmentado,No
Si,11,6,0,1,0,0,3,0,1,Cliente Leal,Si
No,14,6,0,2,0,1,1,0,4,Cliente Leal,Si
No,7,1,0,3,0,1,1,0,1,Cliente Objetivo,Si
No,19,5,0,0,0,2,9,0,0,Cliente Leal,Si
Si,11,8,0,1,0,0,1,0,0,Cliente Leal,Si
No,16,5,1,1,0,3,3,1,1,Cliente Leal,Si
Si,17,7,0,3,0,1,2,0,3,Cliente Leal,Si
No,9,0,0,5,0,0,4,0,0,Cliente Objetivo,Si
No,8,3,0,1,0,1,1,0,2,Cliente Leal,Si
No,21,8,1,3,0,0,5,0,1,Cliente Leal,Si
No,65,0,0,0,0,1,3,0,0,Cliente Objetivo,Si
Si,16,0,0,0,0,0,1,0,2,Cliente Objetivo,Si
Si,28,6,8,2,0,1,0,0,9,Cliente No Segmentado,Si
Si,2,1,0,0,0,0,0,0,1,Cliente Objetivo,Si
No,17,2,0,1,0,2,4,0,6,Cliente Objetivo,Si
No,3,0,0,0,0,1,2,0,0,Cliente Objetivo,Si
No,3,0,0,0,0,1,2,0,0,Cliente Objetivo,Si
No,6,1,0,1,0,1,3,0,0,Cliente Objetivo,Si
No,10,5,0,1,0,1,1,0,2,Cliente Leal,Si
Si,16,10,0,0,0,0,2,0,2,Cliente Leal,Si
No,22,3,0,0,0,0,3,0,11,Cliente Leal,Si
No,4,0,0,1,0,1,2,0,0,Cliente Objetivo,Si
No,11,6,0,1,0,1,1,0,2,Cliente Leal,Si
No,10,3,1,1,0,0,1,0,4,Cliente Leal,Si
No,11,6,0,0,0,1,1,0,2,Cliente Leal,Si
No,14,3,1,2,0,2,3,0,3,Cliente Leal,Si
Si,29,1,0,0,0,0,2,0,10,Cliente Objetivo,Si
Si,17,2,6,4,0,2,0,0,3,Cliente No Segmentado,Si
No,7,1,0,1,0,1,3,0,1,Cliente Objetivo,Si
No,9,0,0,1,1,1,1,0,1,Cliente Objetivo,No
No,10,2,0,3,0,1,1,0,3,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
Si,36,0,0,0,0,0,8,0,4,Cliente Objetivo,Si
Si,5,1,2,1,0,0,0,0,1,Cliente Objetivo,Si
No,8,0,0,0,0,1,1,0,2,Cliente Objetivo,Si
Si,5,1,1,1,0,0,0,0,2,Cliente Objetivo,Si
Si,11,6,0,1,0,0,2,0,1,Cliente Leal,Si
Si,8,4,0,1,0,0,0,0,3,Cliente Leal,Si
No,14,7,2,0,1,1,0,1,2,Cliente No Segmentado,No
No,41,10,10,4,1,3,3,0,6,Cliente No Segmentado,No
Si,6,0,0,0,0,0,0,0,0,Cliente Objetivo,Si
No,23,8,0,4,1,1,4,1,1,Cliente Leal,No
No,6,2,1,0,0,0,1,0,0,Cliente Objetivo,Si
No,30,5,1,6,1,1,7,1,7,Cliente Leal,No
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,11,4,2,0,1,1,1,1,1,Cliente No Segmentado,No
Si,4,1,0,0,0,1,0,0,1,Cliente Objetivo,Si
Si,4,1,0,0,0,0,1,0,2,Cliente Objetivo,Si
No,8,1,0,0,0,1,0,0,6,Cliente Objetivo,Si
Si,21,6,6,0,0,0,2,0,1,Cliente No Segmentado,Si
No,17,1,0,5,1,4,1,0,4,Cliente Objetivo,Si
No,23,7,4,4,0,1,2,1,4,Cliente No Segmentado,Si
Si,2,1,0,1,0,0,0,0,0,Cliente Objetivo,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,3,1,0,0,0,1,1,0,0,Cliente Objetivo,Si
No,7,1,0,1,0,1,1,0,2,Cliente Objetivo,Si
No,5,1,0,0,0,1,0,1,2,Cliente Objetivo,Si
No,41,10,2,6,1,1,6,1,11,Cliente No Segmentado,No
No,28,9,2,2,1,5,0,1,5,Cliente No Segmentado,No
No,2,0,0,0,0,1,0,0,1,Cliente Objetivo,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,10,2,0,4,0,0,1,0,2,Cliente Objetivo,Si
No,10,0,1,0,0,0,1,0,4,Cliente Objetivo,Si
Si,11,3,1,0,0,1,1,1,3,Cliente Leal,Si
Si,13,4,2,0,0,0,5,0,2,Cliente No Segmentado,Si
No,8,2,0,3,0,1,0,0,2,Cliente Objetivo,Si
No,24,10,3,4,0,2,1,1,2,Cliente No Segmentado,Si
No,18,5,4,2,0,3,0,0,4,Cliente No Segmentado,Si
No,7,3,0,0,0,1,1,0,2,Cliente Leal,Si
No,6,0,0,2,0,1,0,0,1,Cliente Objetivo,Si
No,6,2,0,0,1,1,1,1,0,Cliente Objetivo,No
No,5,0,0,0,0,2,3,0,0,Cliente Objetivo,Si
No,7,4,0,1,0,0,2,0,0,Cliente Leal,Si
Si,3,1,0,0,0,0,0,0,1,Cliente Objetivo,Si
No,6,1,0,2,0,0,1,0,0,Cliente Objetivo,Si
No,10,0,0,2,0,1,0,0,3,Cliente Objetivo,Si
No,20,0,0,0,0,0,4,0,2,Cliente Objetivo,Si
Si,4,0,0,1,1,1,0,0,1,Cliente Objetivo,No
No,8,2,0,3,0,1,0,0,2,Cliente Objetivo,Si
Si,5,0,0,1,0,0,0,0,1,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,12,4,0,2,0,2,1,0,3,Cliente Leal,Si
Si,27,4,11,1,0,1,3,1,4,Cliente No Segmentado,Si
Si,3,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,2,0,0,0,0,1,1,0,0,Cliente Objetivo,Si
No,29,7,0,2,1,3,10,0,0,Cliente Leal,No
No,31,6,0,6,1,1,4,1,6,Cliente Leal,No
Si,30,7,0,1,0,0,13,0,0,Cliente Leal,Si
No,10,4,0,0,0,1,3,0,1,Cliente Leal,Si
No,9,0,0,2,0,2,4,0,1,Cliente Objetivo,Si
No,6,3,0,0,0,0,1,0,1,Cliente Leal,Si
No,17,2,0,2,1,2,9,0,0,Cliente Objetivo,No
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,54,3,0,2,1,1,0,1,1,Cliente Leal,No
No,17,1,1,4,0,3,0,0,7,Cliente Objetivo,Si
No,5,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,7,0,0,3,0,2,2,0,0,Cliente Objetivo,Si
Si,21,4,4,0,0,1,0,0,10,Cliente No Segmentado,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,3,1,0,1,0,0,0,0,0,Cliente Objetivo,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,22,3,0,8,1,5,4,0,0,Cliente Leal,No
Si,13,5,2,0,0,0,1,0,3,Cliente No Segmentado,Si
No,11,0,0,3,0,2,1,0,2,Cliente Objetivo,Si
Si,9,4,0,0,0,1,2,0,1,Cliente Leal,Si
No,13,3,0,2,0,0,4,0,4,Cliente Leal,Si
Si,9,5,0,0,0,1,2,0,1,Cliente Leal,Si
No,29,7,0,1,1,0,4,0,0,Cliente Leal,No
No,2,0,0,1,0,0,0,0,0,Cliente Objetivo,Si
Si,3,1,0,0,0,0,1,0,0,Cliente Objetivo,Si
Si,5,1,1,0,0,0,1,0,1,Cliente Objetivo,Si
Si,22,6,1,4,0,3,2,1,1,Cliente Leal,Si
No,5,0,0,3,0,0,0,0,2,Cliente Objetivo,Si
No,33,2,0,2,0,3,13,0,0,Cliente Objetivo,Si
Si,14,6,0,1,1,2,3,0,0,Cliente Leal,No
No,4,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,6,2,0,0,0,0,3,0,0,Cliente Objetivo,Si
No,13,3,0,0,1,1,1,1,1,Cliente Leal,Si
No,10,0,0,1,0,0,0,0,4,Cliente Objetivo,Si
No,20,6,8,2,0,2,1,0,1,Cliente No Segmentado,Si
No,15,1,0,1,1,1,0,0,11,Cliente Objetivo,No
No,6,0,0,1,0,1,1,0,2,Cliente Objetivo,Si
Si,7,5,0,1,0,0,0,0,1,Cliente Leal,Si
No,5,0,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,11,2,0,4,0,2,0,0,3,Cliente Objetivo,Si
No,8,2,0,2,0,1,1,0,2,Cliente Objetivo,Si
No,1,0,0,0,0,1,0,0,0,Cliente Objetivo,Si
No,9,0,0,1,0,1,2,0,4,Cliente Objetivo,Si
No,7,1,0,3,0,1,0,0,2,Cliente Objetivo,Si
Si,8,2,0,0,0,0,3,0,1,Cliente Objetivo,Si
No,14,6,0,0,0,1,6,0,1,Cliente Leal,Si
No,11,3,0,1,0,3,1,0,3,Cliente Leal,Si
Si,7,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,7,1,0,0,0,2,4,0,0,Cliente Objetivo,Si
No,20,0,0,3,0,1,2,0,4,Cliente Objetivo,Si
No,7,1,3,2,0,0,0,0,1,Cliente No Segmentado,Si
Si,21,7,0,1,0,0,8,0,2,Cliente Leal,Si
No,10,1,0,2,1,1,5,0,0,Cliente Objetivo,No
No,11,0,0,0,1,1,0,0,3,Cliente Objetivo,No
